user_id;object_id;rating
104470;5683;10
104470;130229;9
104470;197036;10
104481;290265;5
104481;292862;10
104481;293859;8
104481;303969;10
104481;303970;10
104490;27492;9
104490;293392;10
104498;328732;6
104513;3800;10
104513;22211;6
104513;83359;8
104516;286190;2
104519;284916;9
104519;316025;8
104529;54777;10
104529;101011;9
104529;169947;8
104529;209230;10
104529;231820;8
104529;231822;8
104539;293409;6
104539;300193;7
104539;303753;6
104572;321101;5
104592;45771;5
104592;46653;5
104592;57218;7
104592;91130;7
104592;91158;7
104592;91255;6
104592;91261;8
104592;91402;7
104592;95859;5
104592;153452;7
104592;164939;6
104592;180926;7
104592;183251;7
104609;87585;9
104609;87587;9
104609;87594;9
104609;87599;8
104639;337800;5
104688;3800;10
104688;8224;7
104688;11045;9
104688;29460;10
104688;47579;8
104688;56173;10
104688;75955;8
104688;78375;9
104688;82427;9
104688;82904;9
104688;83352;9
104688;83359;8
104688;84102;8
104688;91712;9
104688;93914;9
104688;94080;8
104688;94348;9
104688;99994;5
104688;101235;7
104688;101588;8
104688;101630;9
104688;104800;10
104688;106279;9
104688;107778;10
104688;108253;10
104688;115370;8
104688;115913;10
104688;119579;6
104688;129769;8
104688;135738;9
104688;138809;10
104688;138955;10
104688;139001;9
104688;139495;9
104688;156203;8
104688;162275;8
104688;165670;9
104688;165831;5
104688;180554;9
104688;181819;8
104688;181978;9
104688;182558;9
104688;182815;8
104688;192185;10
104688;197526;10
104688;207157;10
104688;207272;10
104688;217616;10
104688;217701;10
104688;217724;10
104688;217739;10
104688;217776;10
104688;217780;8
104688;217885;10
104688;233514;10
104688;236698;10
104706;40067;7
104706;45773;7
104706;100657;7
104706;129909;8
104706;188161;10
104706;254015;8
104721;42330;10
104721;47271;10
104721;47389;10
104721;57220;10
104721;57222;10
104721;83392;10
104721;83420;10
104721;91426;10
104721;101733;10
104721;107697;10
104721;108522;10
104721;124472;10
104721;139898;10
104721;162582;10
104721;169014;10
104721;180923;10
104721;253978;10
104763;75403;8
104763;82575;8
104763;94080;6
104763;101723;8
104763;152566;7
104763;152567;8
104763;153581;7
104768;55845;8
104768;77023;6
104768;94525;7
104768;94642;8
104768;94982;5
104768;100578;8
104768;100688;9
104768;114389;8
104768;136479;8
104768;139341;7
104768;209043;8
104796;262754;10
104808;11353;8
104808;43015;7
104808;54400;3
104808;55354;8
104808;101530;5
104808;232362;9
104808;240329;10
104808;249962;8
104887;160728;8
104896;108616;7
104896;108707;7
104896;119458;8
104909;81417;8
104909;166217;10
104909;166451;8
104909;192441;9
104909;202249;9
104910;138300;9
104917;45584;6
104917;45924;6
104917;108342;7
104917;115925;8
104917;124059;7
104917;124102;7
104917;124136;7
104917;124515;7
104917;124575;7
104917;124583;7
104917;124586;7
104917;124598;8
104926;47642;5
104926;82840;10
104926;90857;8
104926;91053;7
104926;107543;8
104926;165104;9
104926;166705;9
104926;170117;10
104926;197526;9
104926;197681;7
104955;11045;8
104955;11346;8
104955;12572;8
104955;45932;8
104955;56866;8
104955;77023;5
104955;79310;8
104955;82067;9
104955;107569;8
104955;108455;8
104955;110080;8
104955;111561;6
104955;111666;5
104955;111862;3
104955;115862;7
104955;115953;8
104955;116083;8
104955;124201;8
104955;124369;8
104955;139523;6
104955;152635;8
104955;168384;8
104955;180923;7
104955;197941;5
104955;250403;7
104997;5342;7
104997;11847;9
104997;54352;7
104997;75740;8
104997;103379;8
104997;108140;7
104997;123484;8
104997;136033;9
104997;152454;4
104997;154930;8
104997;156126;9
104997;202266;8
104997;253978;9
104997;253999;8
105020;29994;8
105020;64294;7
105020;65445;6
105020;68213;7
105020;99370;4
105020;101035;8
105020;101162;9
105020;101283;9
105020;107955;9
105020;124155;8
105020;157861;5
105020;181903;6
105020;202370;8
105022;3494;10
105022;9568;8
105022;24184;5
105022;30067;7
105022;56383;9
105022;82029;7
105022;83237;4
105022;100628;9
105022;101733;7
105022;116280;5
105022;119579;8
105022;124073;4
105022;139523;6
105022;158856;8
105022;172020;9
105022;200920;6
105026;7015;3
105026;23588;2
105026;81759;9
105026;81849;3
105026;83196;3
105026;91216;3
105026;107567;1
105026;107574;8
105026;155919;10
105026;180922;8
105038;100809;7
105038;108501;7
105038;139546;9
105038;153606;8
105038;182851;8
105038;202266;9
105088;41710;7
105088;45264;8
105088;72269;9
105088;97172;8
105088;97471;10
105088;97512;10
105088;98386;10
105088;153139;8
105101;76970;7
105101;91165;7
105101;95844;4
105101;101587;7
105101;138679;9
105101;153620;7
105101;158856;10
105101;171601;7
105101;202294;9
105111;55141;7
105111;87592;10
105111;87686;8
105111;94382;5
105111;94472;5
105111;95638;7
105111;96002;7
105111;99987;7
105111;100410;7
105111;124369;8
105111;124403;8
105111;136510;6
105111;197355;5
105111;231898;5
105159;12572;10
105159;95670;8
105159;95840;9
105159;101059;7
105159;108064;10
105159;108312;10
105159;108386;9
105159;109993;9
105159;111568;8
105159;133104;6
105159;135130;8
105172;5683;9
105172;24482;8
105172;29460;10
105172;49784;8
105172;56382;10
105172;83684;9
105172;187947;9
